# scorer=cert K=3 N=1000 M=4150 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=eta eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4150,9.533499584,0.009533499584,60,0,1,0
1,back,999,4146,9.53382029,0.00953382029,1,0,1,1
2,dec,1000,4150,9.532857609,0.009532857609,0,0,1,0
3,back,999,4146,9.533197475,0.009533197475,0,0,1,1
4,dec,1000,4150,9.532798678,0.009532798678,0,0,1,0
5,back,999,4146,9.533033203,0.009533033203,0,0,1,1
6,dec,1000,4150,9.53327699,0.00953327699,0,0,1,0
7,back,999,4147,9.533321823,0.009533321823,0,0,1,1
8,dec,1000,4150,9.533202685,0.009533202685,0,0,1,0
9,back,999,4141,9.532967653,0.009532967653,0,0,1,1
10,dec,1000,4150,9.533135489,0.009533135489,0,0,1,0
11,back,999,4141,9.533045507,0.009533045507,0,0,1,1
12,dec,1000,4150,9.533222432,0.009533222432,0,0,1,0
13,back,999,4147,9.533149422,0.009533149422,0,0,1,1
14,dec,1000,4150,9.533155702,0.009533155702,0,0,1,0
15,back,999,4141,9.533113537,0.009533113537,0,0,1,1
16,dec,1000,4150,9.533091048,0.009533091048,0,0,1,0
17,dec,999,4141,9.533137654,0.009533137654,0,0,1,1
18,back,998,4138,9.533149218,0.009533149218,0,0,1,2
19,dec,999,4141,9.533150955,0.009533150955,0,0,1,1
20,back,998,4137,9.533133673,0.009533133673,0,0,1,2
21,dec,999,4141,9.533124199,0.009533124199,0,0,1,1
22,back,998,4138,9.533119933,0.009533119933,0,0,1,2
23,dec,999,4141,9.533141254,0.009533141254,0,0,1,1
24,back,998,4137,9.533136344,0.009533136344,0,0,1,2
25,dec,999,4141,9.533140276,0.009533140276,0,0,1,1
26,back,998,4138,9.533132867,0.009533132867,0,0,1,2
27,dec,999,4141,9.533127338,0.009533127338,0,0,1,1
28,back,998,4137,9.533132166,0.009533132166,0,0,1,2
29,dec,999,4141,9.533133196,0.009533133196,0,0,1,1
